VehicleTypes,YearFrom,YearTo,Make
AUTOMOBILE,2006,2017,BMW
AUTOMOBILE,2007,2017,Ford
AUTOMOBILE,2006,2017,Kia
AUTOMOBILE,2006,2017,All Makes
MOTORCYCLE,2006,2017,BMW
MOTORCYCLE,2005,2017,DUCATI
MOTORCYCLE,2008,2017,HONDA
MOTORCYCLE,2009,2017,KAWASAKI
MOTORCYCLE,2009,2017,All Makes
MOTORCYCLE,2010,2017,YAMAHA
JET SKI,2006,2017,HONDA
JET SKI,2007,2017,SUZUKI
JET SKI,2008,2017,YAMAHA
DIRT BIKE,2006,2017,YAMAHA
AUTOMOBILE,2006,2017,BMW
AUTOMOBILE,2007,2017,Ford
AUTOMOBILE,2006,2017,Kia
AUTOMOBILE,2006,2017,All Makes
MOTORCYCLE,2006,2017,BMW
MOTORCYCLE,2005,2017,DUCATI
MOTORCYCLE,2008,2017,HONDA
MOTORCYCLE,2009,2017,KAWASAKI
MOTORCYCLE,2009,2017,All Makes
MOTORCYCLE,2010,2017,YAMAHA
JET SKI,2006,2017,HONDA
JET SKI,2007,2017,SUZUKI
JET SKI,2008,2017,YAMAHA
DIRT BIKE,2006,2017,YAMAHA
AUTOMOBILE,2006,2017,BMW
AUTOMOBILE,2007,2017,Ford
AUTOMOBILE,2006,2017,Kia
AUTOMOBILE,2006,2017,All Makes
MOTORCYCLE,2006,2017,BMW
MOTORCYCLE,2005,2017,DUCATI
MOTORCYCLE,2008,2017,HONDA
MOTORCYCLE,2009,2017,KAWASAKI
MOTORCYCLE,2009,2017,All Makes
MOTORCYCLE,2010,2017,YAMAHA
JET SKI,2006,2017,HONDA
JET SKI,2007,2017,SUZUKI
JET SKI,2008,2017,YAMAHA
DIRT BIKE,2006,2017,YAMAHA
AUTOMOBILE,2006,2017,BMW
AUTOMOBILE,2007,2017,Ford
AUTOMOBILE,2006,2017,Kia
AUTOMOBILE,2006,2017,All Makes
MOTORCYCLE,2006,2017,BMW
MOTORCYCLE,2005,2017,DUCATI
MOTORCYCLE,2008,2017,HONDA
MOTORCYCLE,2009,2017,KAWASAKI
MOTORCYCLE,2009,2017,All Makes
MOTORCYCLE,2010,2017,YAMAHA
JET SKI,2006,2017,HONDA
JET SKI,2007,2017,SUZUKI
JET SKI,2008,2017,YAMAHA
DIRT BIKE,2006,2017,YAMAHA
AUTOMOBILE,2006,2017,BMW
AUTOMOBILE,2007,2017,Ford
AUTOMOBILE,2006,2017,Kia
AUTOMOBILE,2006,2017,All Makes
MOTORCYCLE,2006,2017,BMW
MOTORCYCLE,2005,2017,DUCATI
MOTORCYCLE,2008,2017,HONDA
MOTORCYCLE,2009,2017,KAWASAKI
MOTORCYCLE,2009,2017,All Makes
MOTORCYCLE,2010,2017,YAMAHA
JET SKI,2006,2017,HONDA
JET SKI,2007,2017,SUZUKI
JET SKI,2008,2017,YAMAHA
DIRT BIKE,2006,2017,YAMAHA
AUTOMOBILE,2006,2017,BMW
AUTOMOBILE,2007,2017,Ford
AUTOMOBILE,2006,2017,Kia
AUTOMOBILE,2006,2017,All Makes
MOTORCYCLE,2006,2017,BMW
MOTORCYCLE,2005,2017,DUCATI
MOTORCYCLE,2008,2017,HONDA
MOTORCYCLE,2009,2017,KAWASAKI
MOTORCYCLE,2009,2017,All Makes
MOTORCYCLE,2010,2017,YAMAHA
JET SKI,2006,2017,HONDA
JET SKI,2007,2017,SUZUKI
JET SKI,2008,2017,YAMAHA
DIRT BIKE,2006,2017,YAMAHA
AUTOMOBILE,2006,2017,BMW
AUTOMOBILE,2007,2017,Ford
